temp_int,temp_ext,luminosité,humidité,vent,présence,heure,jour_semaine,consommation
20.618101782710436,14.15969893075671,614.7962904552335,65.37798678544755,36.01339619736978,0,18,3,119.47057095826162
29.260714596148745,13.644257967519994,824.8890963699877,32.067045347361635,34.364150220656384,1,16,6,133.30676171096692
25.979909127171076,36.71891031823628,784.1448368111431,81.06761943483704,4.787709933167883,1,9,1,132.93567329853005
23.979877262955547,13.734116994732714,238.5099142243963,62.918136734846904,46.12862024529,1,18,5,161.96356449988477
17.34027960663655,14.518240414502085,234.32452276732653,31.004271848986797,28.42361010784098,0,10,3,139.24575241746737
17.33991780504304,31.57893918462873,341.356930970422,87.36366402368448,18.186276056784212,1,14,0,193.27155268661514
15.871254182522993,20.740894485768898,424.9672537069335,56.28558243347244,37.82692917476533,1,9,6,209.604082282795
27.99264218662403,32.18486949343134,467.61002326763435,25.10289163101585,12.868272920081703,0,10,2,77.67253676225866
24.01672517614813,7.2878155147534835,711.7274951500108,63.87830330905471,34.67549185231602,0,22,3,122.35009555176333
25.621088666940683,22.06499177856845,151.01238894925186,37.723923490896716,1.985560378612361,0,2,0,90.45103333907647
15.308767414437037,6.176476006414893,131.20543380345975,76.25854163141116,41.9704018804636,0,2,6,147.0533583717432
29.548647782429917,7.192862120937408,452.7195066495181,77.24754514963334,22.408542351065925,1,17,6,124.84852935527388
27.48663961200633,36.72531086705438,727.4473229241825,88.52631490982633,31.834645717897086,0,10,1,91.31691904043525
18.185086660174143,9.87358798911583,274.0918086608343,55.13086717171526,11.061890990334183,1,19,6,166.57477361640244
17.727374508106507,23.6347238796326,677.3540331306265,51.8469815809416,33.8536856329224,0,21,2,157.39245471401856
17.751067647801506,19.38834609102473,333.8453241462695,72.74329238125364,38.61201379466383,0,17,6,141.6180517799416
19.563633644393065,17.157016419059495,897.4774979321647,29.272945943934857,23.660659344219937,1,14,4,213.34947872708057
22.871346474483566,36.494167099054536,906.1209498399548,58.28408596551869,30.886346203089715,1,6,0,173.1716336629814
21.479175279631736,5.763818887142133,367.5584838531938,58.237332009159566,22.81629619111993,1,9,4,174.3232645892118
19.368437102970628,28.23263901614562,306.99437856691645,26.263118596727104,44.704568462892276,0,20,6,141.53349683845315
